City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Anori,BR,74.46,heavy intensity rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
384,Mahanoro,MG,73.56,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
385,Kitimat,CA,56.91,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
386,Ballina,AU,73.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
387,Ahualulco,MX,89.42,scattered clouds,22.4,-101.1667,Hotel Aurelieus
388,Mahibadhoo,MV,83.8,overcast clouds,3.7833,72.9667,Omadhoo Inn
390,Luau,AO,63.59,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
391,Dera Bugti,PK,82.51,overcast clouds,29.0307,69.151,Nawab Bugti House
393,Komsomolskiy,UZ,63.32,broken clouds,40.4272,71.7189,Ikathouse
394,Odweyne,SO,72.88,broken clouds,9.4092,45.064,Eng Hiirey House
396,Gawler,AU,64.26,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
398,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
399,Langsa,ID,74.75,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
401,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
403,Ariquemes,BR,72.77,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
405,Pyapon,MM,79.45,few clouds,16.2833,95.6833,Aung Naing Thu Motel
407,Hobyo,SO,82.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
408,Ihosy,MG,66.43,broken clouds,-22.4,46.1167,Hotely Sariaka
411,Chifeng,CN,50.61,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
412,Dapdap,PH,83.16,broken clouds,12.062,125.4881,Oasis Lodge
413,Mitsamiouli,KM,81.18,few clouds,-11.3847,43.2844,Foyer ADM
414,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
415,Shache,CN,55.83,scattered clouds,38.4167,77.2406,Delong Hotel
416,Forio,IT,53.82,overcast clouds,40.7342,13.8646,Hotel Terme Providence
417,Faya,SA,62.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
418,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
420,Aljezur,PT,56.95,overcast clouds,37.3191,-8.8033,Amazigh Hostel
422,Nishihara,JP,70.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
424,Olavarria,AR,60.03,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
425,Touros,BR,80.29,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
426,Correntina,BR,69.75,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
429,Kutum,SD,79.57,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
430,Duldurga,RU,52.07,scattered clouds,50.6761,113.5931,Golden Dragon
432,Kitob,UZ,63.55,overcast clouds,39.0843,66.8332,KESH HOTEL
433,Sokoto,NG,84.56,overcast clouds,13.0609,5.239,Grand Ibro Hotel
434,Kieta,PG,82.85,light rain,-6.2167,155.6333,Uruna Bay Retreat
436,Klamath Falls,US,55.96,few clouds,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
437,Benemerito De Las Americas,MX,82.38,few clouds,16.5167,-90.6439,Hotel Fontera Sur
439,Mumford,GH,80.49,moderate rain,5.2618,-0.759,Spanish Villa
440,Voh,NC,81.39,broken clouds,-20.9667,164.7,Le gîte du Koniambo
441,Katsuura,JP,62.87,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
442,Gornoye Loo,RU,62.38,broken clouds,43.7129,39.6049,«ВатерЛоо» гостиница
443,Francisco Beltrao,BR,57.58,clear sky,-26.0811,-53.055,Cristal Palace Hotel
446,Half Moon Bay,US,65.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
449,San Quintin,MX,64.76,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
450,Valdivia,CL,50.11,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
451,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
452,Chato,TZ,65.98,overcast clouds,-2.6378,31.7669,Kagudule Lodge
453,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
456,Sibolga,ID,75.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
457,Trincomalee,LK,79.52,scattered clouds,8.5711,81.2335,Welcombe Hotel
458,Ler,SS,82.26,clear sky,8.3018,30.1418,Leer Humanitarian Hub
459,Erzin,TR,65.25,overcast clouds,36.9559,36.2,Artemis Otel
462,Asyut,EG,83.34,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
465,Ratnagiri,IN,78.46,clear sky,16.9833,73.3,Hotel Landmark
466,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
468,Pocone,BR,72.41,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
469,Pontes E Lacerda,BR,71.82,few clouds,-15.2261,-59.3353,Hotel Bressan
473,Atherton,GB,52.9,overcast clouds,53.5237,-2.4935,The Mercury Motel
477,Belmonte,BR,77.05,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
480,Malanje,AO,64.72,overcast clouds,-9.5402,16.341,Hotel Ginga
481,Cacu,BR,62.02,clear sky,-18.5567,-51.1308,Império Hotel
482,Sainte-Marie,RE,75.33,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
483,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
485,Buchanan,LR,78.78,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
486,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
487,Arenapolis,BR,72.79,few clouds,-14.4503,-56.8461,Mato Grosso Hotel
488,Zhuhai,CN,71.38,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
490,Namwala,ZM,63.0,few clouds,-15.7504,26.4384,Corner Point Lodge
493,Ternate,ID,84.11,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
494,Puerto Madryn,AR,60.51,clear sky,-42.7692,-65.0385,Hotel Tolosa
496,Talcahuano,CL,53.74,broken clouds,-36.7167,-73.1167,departamento comodo
497,Muriwai Beach,NZ,64.96,moderate rain,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
498,Am Timan,TD,87.64,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
499,Alagoinhas,BR,72.81,light rain,-12.1356,-38.4192,Alagoinhas Plaza Hotel
500,Moanda,GA,70.57,moderate rain,-1.5575,13.2178,Heliconia Stadium Moanda
504,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
508,Rio Grande,BR,63.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
509,Lata,PT,58.82,scattered clouds,40.1629,-8.3327,Casa Maquia
510,Shingu,JP,63.55,light rain,33.7333,135.9833,Shingu UI Hotel
512,Udaipura,IN,83.26,clear sky,23.0833,78.5,Hotel Kanha Palace
514,Pucallpa,PE,84.24,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
519,Kroya,ID,82.42,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
520,Izumo,JP,55.35,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
521,Margate,GB,52.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
523,Shenjiamen,CN,56.71,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
524,Hope,US,59.07,overcast clouds,33.6671,-93.5916,Best Western Hope
525,Tahta,EG,85.35,overcast clouds,26.7693,31.5021,فندق الزيات
527,North Bend,US,55.92,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
528,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
529,Mmabatho,ZA,55.36,overcast clouds,-25.85,25.6333,Mahikeng Guest Apartments
530,Mayumba,GA,77.11,overcast clouds,-3.432,10.6554,LIKWALE LODGE
532,Orbetello,IT,51.82,broken clouds,42.4408,11.2196,Argentario Golf & Wellness Resort
533,Morales,CO,61.43,heavy intensity rain,2.757,-76.6172,Finca Santa Catalina
534,Tura,IN,71.83,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
535,Strathpeffer,GB,55.11,moderate rain,57.588,-4.5382,Highland Hotel
536,Corinto,GR,56.41,overcast clouds,37.9407,22.9573,Ephira Hotel
537,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
538,Lakatoro,VU,84.69,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
539,Sao Borja,BR,59.95,few clouds,-28.6606,-56.0044,Hotel Executivo
540,Lubango,AO,60.93,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
543,Altamira,BR,73.36,moderate rain,-3.2033,-52.2064,Requinte Hotel
544,Bilma,NE,78.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
545,Saint-Joseph,RE,72.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
546,Abrau-Dyurso,RU,51.26,overcast clouds,44.69,37.59,Avgustin Inn
547,Djibo,BF,78.53,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
548,Sampit,ID,83.08,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
549,Dunmore Town,BS,76.59,few clouds,25.5,-76.65,Coral Sands Hotel
550,San Juan,AR,67.53,few clouds,-31.5375,-68.5364,Hotel Provincial
551,Kaeo,NZ,68.32,light rain,-35.1,173.7833,Bushido Lodge
552,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
553,Villa Carlos Paz,AR,61.39,clear sky,-31.4241,-64.4978,Monte Carlo vcp
