City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Zarya,RU,2022-04-06 22:38:32,55.7553,38.0958,28.78,88,67,7.52
99,Sobolevo,RU,2022-04-06 22:38:33,54.4299,31.8996,32.65,98,100,11.72
100,Upernavik,GL,2022-04-06 22:38:33,72.7868,-56.1549,-3.86,99,66,9.01
101,Garowe,SO,2022-04-06 22:38:33,8.4054,48.4845,69.91,83,0,6.6
102,Khani,GE,2022-04-06 22:38:34,41.9563,42.9566,36.97,95,83,6.87
103,Sao Filipe,CV,2022-04-06 22:38:34,14.8961,-24.4956,72.41,73,4,11.27
104,Santa Luzia,BR,2022-04-06 22:38:34,-19.7697,-43.8514,79.88,63,0,9.22
105,Kaitangata,NZ,2022-04-06 22:38:35,-46.2817,169.8464,51.35,59,96,6.58
106,Badhni Kalan,IN,2022-04-06 22:38:35,30.6833,75.2833,73.45,12,0,0.89
107,San Quintin,MX,2022-04-06 22:38:36,30.4833,-115.95,68.95,60,0,6.62
108,Christchurch,NZ,2022-04-06 22:38:36,-43.5333,172.6333,54.32,73,75,13.8
109,Carnarvon,AU,2022-04-06 22:38:37,-24.8667,113.6333,73.47,88,5,5.75
110,Kavieng,PG,2022-04-06 22:38:37,-2.5744,150.7967,78.62,86,100,2.71
111,Peniche,PT,2022-04-06 22:38:37,39.3558,-9.3811,56.1,77,43,11.52
112,Zenzeli,RU,2022-04-06 22:38:38,45.9241,47.0474,47.23,60,11,7.81
113,Bethel,US,2022-04-06 22:38:38,41.3712,-73.414,51.67,87,100,5.01
114,San Patricio,US,2022-04-06 22:38:38,28.017,-97.5169,87.75,29,0,21.25
115,Strezhevoy,RU,2022-04-06 22:38:39,60.7333,77.5889,24.98,87,93,16.93
116,Kahului,US,2022-04-06 22:38:39,20.8947,-156.47,82.42,59,40,20.71
117,Miram Shah,PK,2022-04-06 22:38:39,33.0086,70.0697,72.75,15,0,7.25
118,Kudahuvadhoo,MV,2022-04-06 22:38:40,2.6708,72.8944,82.99,69,40,4.81
119,Frohnleiten,AT,2022-04-06 22:38:40,47.2667,15.3167,51.15,91,76,5.26
120,Sitka,US,2022-04-06 22:38:40,57.0531,-135.33,44.49,45,100,21.85
121,Cranbourne,AU,2022-04-06 22:38:41,-38.1,145.2833,63.41,74,19,11.01
122,Sortavala,RU,2022-04-06 22:38:41,61.7053,30.6918,23.11,94,94,5.91
123,Borba,BR,2022-04-06 22:38:42,-4.3878,-59.5939,75.63,96,55,2.64
124,Alofi,NU,2022-04-06 22:38:42,-19.0595,-169.9187,84.09,74,75,9.22
125,Kavaratti,IN,2022-04-06 22:38:42,10.5669,72.642,82.49,75,76,7.52
126,Paraiso,CR,2022-04-06 22:35:08,9.8383,-83.8656,70.41,93,98,2.91
127,Manaskent,RU,2022-04-06 22:38:43,42.7275,47.6785,51.17,66,98,13.42
128,Bengkulu,ID,2022-04-06 22:38:43,-3.8004,102.2655,74.25,88,99,5.03
129,Iqaluit,CA,2022-04-06 22:38:43,63.7506,-68.5145,4.73,71,40,17.27
130,Praia,CV,2022-04-06 22:38:44,14.9215,-23.5087,70.34,73,40,20.71
131,Tuensang,IN,2022-04-06 22:38:44,26.2833,94.8333,60.64,72,20,3.8
132,Dingle,PH,2022-04-06 22:39:45,10.9995,122.6711,76.1,90,100,6.2
133,Kruisfontein,ZA,2022-04-06 22:39:45,-34.0033,24.7314,55.89,69,65,19.75
134,Requena,ES,2022-04-06 22:39:45,39.4883,-1.1004,41.47,81,9,8.55
135,Katsuura,JP,2022-04-06 22:39:46,35.1333,140.3,57.33,78,93,17.2
136,Vetluga,RU,2022-04-06 22:39:46,57.8557,45.781,22.28,94,11,5.97
137,Provideniya,RU,2022-04-06 22:39:47,64.3833,-173.3,-1.64,71,0,8.99
138,Coruripe,BR,2022-04-06 22:39:47,-10.1256,-36.1756,77.16,74,2,7.29
139,Narsaq,GL,2022-04-06 22:39:47,60.9167,-46.05,34.02,84,96,2.55
140,Hammerfest,NO,2022-04-06 22:39:48,70.6634,23.6821,32.45,74,0,21.85
141,Cabo San Lucas,MX,2022-04-06 22:36:12,22.8909,-109.9124,79.61,61,0,4.0
142,Lufilufi,WS,2022-04-06 22:39:48,-13.8745,-171.5986,87.58,80,73,22.01
143,Bambous Virieux,MU,2022-04-06 22:39:49,-20.3428,57.7575,77.25,83,40,6.91
144,Bluff,NZ,2022-04-06 22:39:49,-46.6,168.3333,51.94,56,65,7.23
145,Vostok,RU,2022-04-06 22:39:49,46.4856,135.8833,25.48,52,7,10.33
146,Sur,OM,2022-04-06 22:39:50,22.5667,59.5289,83.59,46,0,8.93
147,Marzuq,YE,2022-04-06 22:39:50,14.4,46.4667,65.82,26,0,4.43
148,Bredasdorp,ZA,2022-04-06 22:39:50,-34.5322,20.0403,57.49,63,96,8.93
149,Saint-Augustin,CA,2022-04-06 22:39:51,51.226,-58.6502,36.07,85,100,13.47
150,Srandakan,ID,2022-04-06 22:39:51,-7.9386,110.2506,76.15,88,67,2.04
151,Podgorenskiy,RU,2022-04-06 22:39:51,50.405,39.6429,42.6,81,77,7.2
152,Mahebourg,MU,2022-04-06 22:39:52,-20.4081,57.7,77.29,83,40,6.91
153,Fairbanks,US,2022-04-06 22:39:52,64.8378,-147.7164,42.76,47,0,10.36
154,Ahipara,NZ,2022-04-06 22:39:53,-35.1667,173.1667,67.64,59,40,13.6
155,Comodoro Rivadavia,AR,2022-04-06 22:37:59,-45.8667,-67.5,46.26,100,100,3.44
156,Tiznit,MA,2022-04-06 22:39:53,29.5833,-9.5,51.87,75,73,5.28
