City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
438,Suntar,RU,62.1444,117.6319,39.58,88,95,9.98,overcast clouds
439,Mumford,GH,5.2618,-0.759,80.49,85,100,11.07,moderate rain
440,Voh,NC,-20.9667,164.7,81.39,61,71,3.11,broken clouds
441,Katsuura,JP,35.1333,140.3,62.87,68,90,11.41,overcast clouds
442,Gornoye Loo,RU,43.7129,39.6049,62.38,55,83,8.37,broken clouds
443,Francisco Beltrao,BR,-26.0811,-53.055,57.58,84,7,2.66,clear sky
444,Sosnogorsk,RU,63.6023,53.8817,27.46,97,75,4.92,broken clouds
445,Lyuban,BY,52.7985,28.0048,33.98,72,90,6.26,overcast clouds
446,Half Moon Bay,US,37.4636,-122.4286,65.91,60,0,20.71,clear sky
447,Gavle,SE,60.6745,17.1417,44.15,79,99,1.07,overcast clouds
448,Palencia,ES,42.4167,-4.5,47.79,72,76,9.22,broken clouds
449,San Quintin,MX,30.4833,-115.95,64.76,68,4,20.85,clear sky
450,Valdivia,CL,-39.8142,-73.2459,50.11,89,98,2.08,overcast clouds
451,Cap Malheureux,MU,-19.9842,57.6142,75.47,91,11,4.0,few clouds
452,Chato,TZ,-2.6378,31.7669,65.98,90,99,4.38,overcast clouds
453,Bundaberg,AU,-24.85,152.35,80.22,58,31,11.5,scattered clouds
454,Vyazemskiy,RU,47.5378,134.7525,40.91,60,50,7.85,scattered clouds
455,Saint-Augustin,CA,51.226,-58.6502,35.76,99,100,15.39,overcast clouds
456,Sibolga,ID,1.7427,98.7792,75.69,94,100,3.89,overcast clouds
457,Trincomalee,LK,8.5711,81.2335,79.52,85,48,9.42,scattered clouds
458,Ler,SS,8.3018,30.1418,82.26,47,5,4.0,clear sky
459,Erzin,TR,36.9559,36.2,65.25,34,98,10.76,overcast clouds
460,Nome,US,64.5011,-165.4064,31.15,80,100,16.11,overcast clouds
461,Erenhot,CN,43.6475,111.9767,47.89,25,0,5.61,clear sky
462,Asyut,EG,27.181,31.1837,83.34,12,53,7.58,broken clouds
463,Czluchow,PL,53.6672,17.3588,33.76,69,38,5.12,scattered clouds
464,Linxia,CN,35.6003,103.2064,41.95,41,8,1.12,clear sky
465,Ratnagiri,IN,16.9833,73.3,78.46,76,1,2.8,clear sky
466,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,73,84,11.1,broken clouds
467,Emet,TR,39.343,29.2585,47.79,73,75,1.5,broken clouds
468,Pocone,BR,-16.2567,-56.6228,72.41,62,12,3.89,few clouds
469,Pontes E Lacerda,BR,-15.2261,-59.3353,71.82,84,11,3.33,few clouds
470,Leningradskiy,RU,69.3833,178.4167,19.4,89,95,5.35,overcast clouds
471,Torrington,US,41.8007,-73.1212,42.28,57,3,5.99,clear sky
472,Aras,ES,42.5617,-2.356,48.61,76,0,9.22,clear sky
473,Atherton,GB,53.5237,-2.4935,52.9,90,88,1.99,overcast clouds
474,Coutances,FR,49.05,-1.4333,48.87,95,100,5.77,overcast clouds
475,Hjelset,NO,62.7833,7.4833,47.98,76,100,5.75,overcast clouds
476,Walvis Bay,NA,-22.9575,14.5053,64.06,65,6,5.17,clear sky
477,Belmonte,BR,-15.8631,-38.8828,77.05,77,100,13.42,overcast clouds
478,Westport,US,41.1415,-73.3579,46.56,41,0,9.22,clear sky
479,Hofn,IS,64.2539,-15.2082,44.46,78,0,2.84,clear sky
480,Malanje,AO,-9.5402,16.341,64.72,96,100,1.86,overcast clouds
481,Cacu,BR,-18.5567,-51.1308,62.02,66,0,3.04,clear sky
482,Sainte-Marie,RE,-20.8968,55.5496,75.33,94,75,14.97,broken clouds
483,Kloulklubed,PW,7.0419,134.2556,82.9,74,100,4.0,overcast clouds
484,Boralday,KZ,43.3578,76.8594,48.06,61,40,4.47,scattered clouds
485,Buchanan,LR,5.8808,-10.0467,78.78,84,100,4.03,overcast clouds
486,Vila Velha,BR,-20.3297,-40.2925,75.15,81,75,11.5,broken clouds
487,Arenapolis,BR,-14.4503,-56.8461,72.79,86,20,1.72,few clouds
488,Zhuhai,CN,22.2769,113.5678,71.38,83,40,8.05,scattered clouds
489,Berlevag,NO,70.8578,29.0864,42.6,94,100,16.51,overcast clouds
490,Namwala,ZM,-15.7504,26.4384,63.0,96,11,4.5,few clouds
491,Khandyga,RU,62.6667,135.6,27.23,86,97,5.82,overcast clouds
492,Falun,SE,60.6036,15.626,37.81,78,100,1.5,overcast clouds
493,Ternate,ID,0.8,127.4,84.11,72,35,3.51,scattered clouds
494,Puerto Madryn,AR,-42.7692,-65.0385,60.51,77,0,16.6,clear sky
495,La Rioja,ES,42.25,-2.5,44.38,71,100,3.87,overcast clouds
496,Talcahuano,CL,-36.7167,-73.1167,53.74,87,83,7.31,broken clouds
497,Muriwai Beach,NZ,-36.8167,174.45,64.96,88,100,18.84,moderate rain
498,Am Timan,TD,11.0297,20.2827,87.64,40,85,8.77,overcast clouds
499,Alagoinhas,BR,-12.1356,-38.4192,72.81,98,100,1.86,light rain
500,Moanda,GA,-1.5575,13.2178,70.57,98,96,2.3,moderate rain
501,Storforshei,NO,66.4043,14.5233,35.65,92,40,0.0,scattered clouds
502,Muravlenko,RU,63.7898,74.523,12.54,95,77,9.31,broken clouds
503,Herend,HU,47.1333,17.75,28.2,65,9,1.32,clear sky
504,Riyadh,SA,24.6877,46.7219,68.14,21,0,4.74,clear sky
505,Whitehorse,CA,60.7161,-135.0538,31.01,50,75,2.3,broken clouds
506,Baijiantan,CN,45.6333,85.1833,60.01,14,2,7.23,clear sky
507,Matagami,CA,49.7502,-77.6328,23.11,74,100,13.8,overcast clouds
508,Rio Grande,BR,-32.035,-52.0986,63.95,78,100,12.08,overcast clouds
509,Lata,PT,40.1629,-8.3327,58.82,98,40,1.39,scattered clouds
510,Shingu,JP,33.7333,135.9833,63.55,79,100,6.38,light rain
511,Hovd,MN,48.0056,91.6419,45.7,21,1,6.49,clear sky
512,Udaipura,IN,23.0833,78.5,83.26,20,5,6.24,clear sky
513,Saint-Francois,FR,46.4154,3.9054,43.68,84,0,2.3,clear sky
514,Pucallpa,PE,-8.3791,-74.5539,84.24,70,20,2.3,few clouds
515,Ochakiv,UA,46.6128,31.5498,40.98,79,100,17.02,overcast clouds
516,Khor,RU,47.8861,134.9464,39.38,73,99,9.17,overcast clouds
517,Izazi,TZ,-7.2,35.7333,68.16,88,96,1.45,overcast clouds
518,Umm Kaddadah,SD,13.6017,26.6876,83.97,11,2,8.72,clear sky
519,Kroya,ID,-7.6331,109.2461,82.42,80,72,2.46,broken clouds
520,Izumo,JP,35.3667,132.7667,55.35,62,0,8.05,clear sky
521,Margate,GB,51.3813,1.3862,52.7,72,71,1.01,broken clouds
522,Nantucket,US,41.2835,-70.0995,44.71,59,0,11.5,clear sky
523,Shenjiamen,CN,29.9576,122.298,56.71,71,100,2.8,overcast clouds
524,Hope,US,33.6671,-93.5916,59.07,98,94,5.73,overcast clouds
525,Tahta,EG,26.7693,31.5021,85.35,12,100,8.97,overcast clouds
526,Loughrea,IE,53.1969,-8.5669,39.38,92,68,6.38,broken clouds
527,North Bend,US,43.4065,-124.2243,55.92,78,40,8.05,scattered clouds
528,Ambon,ID,-3.6954,128.1814,84.34,79,40,4.61,scattered clouds
529,Mmabatho,ZA,-25.85,25.6333,55.36,94,95,2.3,overcast clouds
530,Mayumba,GA,-3.432,10.6554,77.11,92,100,4.5,overcast clouds
531,Ekhabi,RU,53.5102,142.9671,31.05,70,21,4.25,few clouds
532,Orbetello,IT,42.4408,11.2196,51.82,52,83,6.91,broken clouds
533,Morales,CO,2.757,-76.6172,61.43,98,100,1.01,heavy intensity rain
534,Tura,IN,25.5198,90.2201,71.83,88,5,4.54,clear sky
535,Strathpeffer,GB,57.588,-4.5382,55.11,77,100,5.91,moderate rain
536,Corinto,GR,37.9407,22.9573,56.41,76,100,8.21,overcast clouds
537,Geraldton,AU,-28.7667,114.6,59.41,63,0,10.36,clear sky
538,Lakatoro,VU,-16.0999,167.4164,84.69,69,28,3.06,scattered clouds
539,Sao Borja,BR,-28.6606,-56.0044,59.95,86,21,5.79,few clouds
540,Lubango,AO,-14.9172,13.4925,60.93,87,100,3.04,overcast clouds
541,Verkhnyaya Inta,RU,65.9811,60.3094,27.75,94,100,14.58,overcast clouds
542,Barguzin,RU,53.6167,109.6167,48.67,73,23,8.55,few clouds
543,Altamira,BR,-3.2033,-52.2064,73.36,97,97,2.21,moderate rain
544,Bilma,NE,18.6853,12.9164,78.75,13,8,7.96,clear sky
545,Saint-Joseph,RE,-21.3667,55.6167,72.21,86,4,9.28,clear sky
546,Abrau-Dyurso,RU,44.69,37.59,51.26,67,100,4.16,overcast clouds
547,Djibo,BF,14.1022,-1.6306,78.53,14,100,8.37,overcast clouds
548,Sampit,ID,-2.5333,112.95,83.08,71,100,2.95,overcast clouds
549,Dunmore Town,BS,25.5,-76.65,76.59,82,23,14.12,few clouds
550,San Juan,AR,-31.5375,-68.5364,67.53,37,18,3.49,few clouds
551,Kaeo,NZ,-35.1,173.7833,68.32,98,100,16.78,light rain
552,Iquitos,PE,-3.7481,-73.2472,75.24,100,100,2.3,overcast clouds
553,Villa Carlos Paz,AR,-31.4241,-64.4978,61.39,67,0,2.59,clear sky
554,Flin Flon,CA,54.7682,-101.865,28.63,81,100,1.95,overcast clouds
555,Kwinana,AU,-32.25,115.7667,62.15,66,0,1.99,clear sky
556,Meulaboh,ID,4.1363,96.1285,79.54,86,100,2.93,overcast clouds
557,Kangasala,FI,61.4638,24.076,38.32,88,100,4.23,overcast clouds
558,Kutahya,TR,39.4242,29.9833,50.86,53,100,2.98,overcast clouds
